Domain_id,Suburb,Postcode,Lat,Lng,lga_ID
2047.0,Bacchus Marsh,3340.0,-37.7356162,144.4123303,33.0
2427.0,Balliang,3340.0,-37.7356162,144.4123303,33.0
2437.0,Balliang East,3340.0,-37.7356162,144.4123303,33.0
9847.0,Coimadai,3340.0,-37.7356162,144.4123303,33.0
16377.0,Glenmore,3340.0,-37.7356162,144.4123303,33.0
24247.0,Long Forest,3340.0,-37.7356162,144.4123303,33.0
24767.0,Maddingley,3340.0,-37.7356162,144.4123303,33.0
26387.0,Merrimu,3340.0,-37.7356162,144.4123303,33.0
32117.0,Parwan,3340.0,-37.7356162,144.4123303,33.0
35047.0,Rowsley,3340.0,-37.7356162,144.4123303,33.0
2997.0,Barrabool,3221.0,-38.1636337,144.1501922,33.0
8827.0,Ceres,3221.0,-38.1636337,144.1501922,33.0
16507.0,Gnarwarre,3221.0,-38.1636337,144.1501922,33.0
3127.0,Barwon Heads,3227.0,-38.2498059,144.4232713,33.0
5737.0,Breamlea,3227.0,-38.2498059,144.4232713,33.0
10077.0,Connewarre,3227.0,-38.2498059,144.4232713,33.0
9447.0,Clifton Springs,3222.0,-38.2049453,144.5875645,33.0
11027.0,Curlewis,3222.0,-38.2049453,144.5875645,33.0
12657.0,Drysdale,3222.0,-38.2049453,144.5875645,33.0
25187.0,Mannerim,3222.0,-38.2049453,144.5875645,33.0
25267.0,Marcus Hill,3222.0,-38.2049453,144.5875645,33.0
104537.0,Wallington,3222.0,-38.2049453,144.5875645,33.0
10317.0,Corio,3214.0,-38.0788809,144.3576473,33.0
30937.0,Norlane,3214.0,-38.0788809,144.3576473,33.0
31047.0,North Shore,3214.0,-38.0788809,144.3576473,33.0
23537.0,Leopold,3224.0,-38.1833957,144.4451578,33.0
144577.0,Moolap,3224.0,-38.1833957,144.4451578,33.0
31627.0,Ocean Grove,3226.0,-38.2573292,144.5382417,33.0
4117.0,Bentleigh,3204.0,-37.9193526,145.0438252,23.0
31767.0,Ormond,3204.0,-37.9193526,145.0438252,23.0
25657.0,McKinnon,3204.0,-37.9193526,145.0438252,23.0
4127.0,Bentleigh East,3165.0,-37.9174873,145.0658766,23.0
8297.0,Carnegie,3163.0,-37.8950779,145.0548502,23.0
15877.0,Glen Huntly,3163.0,-37.8950779,145.0548502,23.0
29437.0,Murrumbeena,3163.0,-37.8950779,145.0548502,23.0
8747.0,Caulfield North,3161.0,-37.8712631,145.0190242,23.0
31597.0,Oakleigh South,3167.0,-37.9193474,145.0989646,23.0
8687.0,Caulfield,3162.0,-37.8932076,145.0217795,23.0
8787.0,Caulfield South,3162.0,-37.8932076,145.0217795,23.0
4297.0,Berwick,3806.0,-38.0264207,145.3475331,26.0
17897.0,Harkaway,3806.0,-38.0264207,145.3475331,26.0
71157.0,Botanic Ridge,3977.0,-38.1347885,145.2811778,26.0
7877.0,Cannons Creek,3977.0,-38.1347885,145.2811778,26.0
10627.0,Cranbourne,3977.0,-38.1347885,145.2811778,26.0
10647.0,Cranbourne East,3977.0,-38.1347885,145.2811778,26.0
10657.0,Cranbourne North,3977.0,-38.1347885,145.2811778,26.0
10677.0,Cranbourne South,3977.0,-38.1347885,145.2811778,26.0
11787.0,Devon Meadows,3977.0,-38.1347885,145.2811778,26.0
20197.0,Junction Village,3977.0,-38.1347885,145.2811778,26.0
