Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
17757.0,1490000.0,19.0,2297000.0,800000.0,1400000.0,25.0,2000000.0,800000.0,19.0,12.0,40.0,680.0,33.0,1400.0,350.0
18717.0,1401000.0,40.0,2925000.0,443000.0,1200000.0,63.0,2350000.0,430000.0,31.0,26.0,55.0,663.0,60.0,1400.0,360.0
35637.0,1930000.0,26.0,8100000.0,360000.0,1945000.0,49.0,8000000.0,360000.0,17.0,10.0,66.0,845.0,42.0,2500.0,290.0
5997.0,2200000.0,60.0,4315000.0,660000.0,1970000.0,103.0,5650000.0,300000.0,52.0,29.0,38.0,848.0,108.0,2050.0,345.0
3827.0,739000.0,82.0,1950000.0,440000.0,700000.0,104.0,10000000.0,395000.0,48.0,35.0,26.0,435.0,136.0,800.0,145.0
17417.0,703000.0,61.0,2300000.0,493000.0,649000.0,78.0,1950000.0,300000.0,20.0,18.0,17.0,450.0,68.0,690.0,130.0
18747.0,875000.0,108.0,2340000.0,420000.0,830000.0,158.0,2200000.0,400000.0,59.0,42.0,30.0,478.0,120.0,950.0,130.0
25477.0,,9.0,1150000.0,605000.0,647000.0,14.0,1200000.0,487000.0,2.0,2.0,,450.0,17.0,550.0,210.0
42057.0,943000.0,12.0,1200000.0,735000.0,895000.0,17.0,1190000.0,690000.0,9.0,6.0,,,4.0,750.0,375.0
43007.0,775000.0,18.0,1290000.0,530000.0,737000.0,31.0,3000000.0,380000.0,2.0,1.0,25.0,500.0,33.0,1000.0,150.0
5727.0,,8.0,655000.0,413000.0,560000.0,11.0,649000.0,369000.0,2.0,1.0,,,6.0,450.0,280.0
13117.0,953000.0,20.0,1510000.0,655000.0,840000.0,24.0,1339000.0,595000.0,16.0,13.0,,460.0,45.0,670.0,315.0
30457.0,613000.0,24.0,950000.0,460000.0,555000.0,34.0,690000.0,459000.0,16.0,7.0,34.0,400.0,47.0,500.0,300.0
39907.0,,8.0,783000.0,430000.0,,12.0,699000.0,475000.0,6.0,5.0,,375.0,16.0,640.0,330.0
43767.0,,8.0,660000.0,385000.0,490000.0,12.0,600000.0,370000.0,1.0,1.0,,365.0,18.0,480.0,320.0
15407.0,960000.0,40.0,1685000.0,320000.0,840000.0,54.0,1580000.0,315000.0,26.0,15.0,32.0,460.0,107.0,900.0,200.0
104297.0,,8.0,1701000.0,750000.0,790000.0,12.0,1750000.0,605000.0,,,,,7.0,620.0,480.0
18527.0,730000.0,18.0,1100000.0,293000.0,700000.0,23.0,870000.0,285000.0,13.0,10.0,,420.0,15.0,770.0,350.0
25177.0,,8.0,1800000.0,650000.0,,10.0,1795000.0,580000.0,7.0,5.0,,415.0,12.0,600.0,365.0
17727.0,770000.0,32.0,1330000.0,69000.0,685000.0,45.0,1275000.0,279000.0,21.0,18.0,29.0,440.0,51.0,595.0,240.0
31027.0,562000.0,15.0,900000.0,433000.0,568000.0,22.0,750000.0,279000.0,8.0,5.0,38.0,415.0,28.0,650.0,330.0
3647.0,705000.0,19.0,1310000.0,530000.0,600000.0,26.0,869000.0,365000.0,4.0,3.0,28.0,420.0,54.0,550.0,270.0
3657.0,726000.0,23.0,1250000.0,450000.0,650000.0,34.0,3200000.0,430000.0,9.0,6.0,42.0,420.0,29.0,800.0,300.0
12557.0,,4.0,2250000.0,1700000.0,,3.0,1680000.0,789000.0,2.0,1.0,,,2.0,430.0,420.0
34497.0,,8.0,1685000.0,636000.0,1547000.0,19.0,3300000.0,885000.0,9.0,6.0,,,9.0,795.0,400.0
30617.0,1152000.0,51.0,4900000.0,515000.0,1280000.0,71.0,11000000.0,410000.0,31.0,22.0,48.0,480.0,68.0,750.0,250.0
15337.0,888000.0,22.0,2000000.0,390000.0,845000.0,47.0,3300000.0,429000.0,19.0,9.0,54.0,495.0,78.0,800.0,200.0
36747.0,,1.0,1035000.0,1035000.0,,4.0,1445000.0,850000.0,3.0,1.0,,,5.0,475.0,410.0
33287.0,910000.0,30.0,2494000.0,660000.0,922000.0,47.0,3750000.0,649000.0,2.0,1.0,42.0,450.0,23.0,1120.0,350.0
3687.0,,1.0,4095000.0,4095000.0,,3.0,5200000.0,3000000.0,,,,,,,
19447.0,,8.0,1390000.0,755000.0,1140000.0,18.0,1600000.0,485000.0,2.0,1.0,,560.0,10.0,3665.0,380.0
146777.0,,3.0,1345000.0,848000.0,,5.0,1850000.0,799000.0,2.0,,,,1.0,400.0,400.0
104247.0,,4.0,1770000.0,1300000.0,,5.0,2100000.0,1295000.0,1.0,,,,,,
104367.0,958000.0,12.0,2825000.0,295000.0,790000.0,15.0,3000000.0,290000.0,3.0,2.0,,,4.0,750.0,350.0
104407.0,,,,,,1.0,578000.0,578000.0,,,,,2.0,750.0,550.0
104197.0,721000.0,65.0,1230000.0,550000.0,640000.0,455.0,1050000.0,186000.0,1.0,1.0,34.0,470.0,119.0,690.0,400.0
144567.0,685000.0,17.0,845000.0,540000.0,599000.0,147.0,899000.0,228000.0,,,26.0,450.0,25.0,550.0,410.0
