postcode,LGA
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3073,Darebin (C)
3074,Whittlesea (C)
3075,Whittlesea (C)
3075,Whittlesea (C)
3076,Whittlesea (C)
3078,Yarra (C)
3078,Darebin (C)
3078,Darebin (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3079,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3081,Banyule (C)
3082,Whittlesea (C)
3082,Whittlesea (C)
3083,Darebin (C)
3083,Banyule (C)
3083,Darebin (C)
3083,Banyule (C)
3083,Whittlesea (C)
3083,Darebin (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3084,Banyule (C)
3085,Darebin (C)
3085,Banyule (C)
3085,Banyule (C)
3085,Banyule (C)
3085,Banyule (C)
3085,Banyule (C)
3085,Banyule (C)
3085,Banyule (C)
3085,Banyule (C)
3086,Darebin (C)
3087,Banyule (C)
3087,Banyule (C)
3087,Banyule (C)
3087,Banyule (C)
3087,Banyule (C)
3087,Banyule (C)
3088,Banyule (C)
3088,Banyule (C)
3088,Banyule (C)
3088,Banyule (C)
3088,Banyule (C)
3088,Banyule (C)
3088,Banyule (C)
3089,Nillumbik (S)
3089,Nillumbik (S)
3090,Nillumbik (S)
3091,Nillumbik (S)
3093,Banyule (C)
3093,Banyule (C)
3094,Banyule (C)
3094,Nillumbik (S)
3094,Banyule (C)
3094,Banyule (C)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3095,Nillumbik (S)
3096,Nillumbik (S)
3096,Nillumbik (S)
3097,Nillumbik (S)
3097,Nillumbik (S)
3097,Nillumbik (S)
3097,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3099,Nillumbik (S)
3101,Boroondara (C)
3101,Boroondara (C)
