streetNumber,streetName,streetType,suburb,postcode,state,geoLocation,propertyType,bedrooms,bathrooms,carspaces,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,price,unitNumber,area,second_ID,canonicalUrl,areaSize,photos
30,Argyle,St,Macleod,3085.0,Vic,"{'latitude': -37.7277211, 'longitude': 145.0733505}",House,3,1.0,2.0,AUSD,Thomas Quixley (Fairfield),2017650967,17356,Thomas Quixley Fairfield Pty Ltd,https://www.domain.com.au/real-estate-agencies/thomasquixleyfairfieldptyltd-17356,https://www.domain.com.au/30-argyle-street-macleod-vic-3085-2017650967,1308000,,0,NN-6749-XM,https://www.domain.com.au/property-profile/30-argyle-street-macleod-vic-3085,707,https://bucket-api.domain.com.au/v1/bucket/image/2017650967_1_1_220309_054101-w1920-h1280
67,Ferguson,St,Macleod,3085.0,Vic,"{'latitude': -37.7272003, 'longitude': 145.0742982}",House,3,1.0,1.0,AUSD,RW Macleod,2017636378,19429,Ray White MacLeod,https://www.domain.com.au/real-estate-agencies/raywhitemacleod-19429,https://www.domain.com.au/67-ferguson-street-macleod-vic-3085-2017636378,1050000,,0,LK-5246-ID,https://www.domain.com.au/property-profile/67-ferguson-street-macleod-vic-3085,705,https://bucket-api.domain.com.au/v1/bucket/image/2017636378_3_1_220303_014920-w4724-h3149
57,Joynt,St,Macleod,3085.0,Vic,"{'latitude': -37.725442, 'longitude': 145.067028}",Unit,2,1.0,1.0,AUSD,RW Macleod,2017647854,19429,Ray White MacLeod,https://www.domain.com.au/real-estate-agencies/raywhitemacleod-19429,https://www.domain.com.au/3-57-joynt-street-macleod-vic-3085-2017647854,852000,3,0,AW-2181-TZ,https://www.domain.com.au/property-profile/57-joynt-street-macleod-vic-3085,951,0
128,Somers,Av,Macleod,3085.0,Vic,"{'latitude': -37.718382, 'longitude': 145.076646}",House,3,1.0,2.0,AUSD,Darren Jones Real Estate,2017634486,11759,Darren Jones Real Estate,https://www.domain.com.au/real-estate-agencies/darrenjonesrealestate,https://www.domain.com.au/128-somers-avenue-macleod-vic-3085-2017634486,1030000,,0,ZY-6990-YE,https://www.domain.com.au/property-profile/128-somers-avenue-macleod-vic-3085,673,https://bucket-api.domain.com.au/v1/bucket/image/2017634486_1_1_220302_063025-w1920-h1279
17,Inkerman,St,Maidstone,3012.0,Vic,"{'latitude': -37.7867163, 'longitude': 144.8818251}",House,4,2.0,3.0,AUSD,Jas Stephens Real Estate Yarraville,2017652514,22,Jas Stephens Real Estate Yarraville,https://www.domain.com.au/real-estate-agencies/jasstephensrealestateyarraville-22,https://www.domain.com.au/17-inkerman-street-maidstone-vic-3012-2017652514,1303000,,0,LH-1363-MG,https://www.domain.com.au/property-profile/17-inkerman-street-maidstone-vic-3012,481,https://bucket-api.domain.com.au/v1/bucket/image/2017652514_1_1_220309_114552-w1600-h1067
343-345,Glenferrie,Rd,Malvern,3144.0,Vic,"{'latitude': -37.8532736, 'longitude': 145.0295151}",Unit,2,2.0,2.0,AUSD,Marshall White Stonnington,2017650115,4450,Marshall White Stonnington,https://www.domain.com.au/real-estate-agencies/marshallwhitestonnington-4450,https://www.domain.com.au/15-343-345-glenferrie-road-malvern-vic-3144-2017650115,1475000,15,0,HY-1299-DC,https://www.domain.com.au/property-profile/343-345-glenferrie-road-malvern-vic-3144,2063,https://bucket-api.domain.com.au/v1/bucket/image/w800-h533-2008970135_1_pi_150303_012659
7,McArthur,St,Malvern,3144.0,Vic,"{'latitude': -37.857022, 'longitude': 145.038983}",House,4,2.0,1.0,AUHB,Jellis Craig Stonnington,2017657396,5489, Jellis Craig Stonnington,https://www.domain.com.au/real-estate-agencies/jelliscraigstonnington-5489,https://www.domain.com.au/7-mcarthur-street-malvern-vic-3144-2017657396,1997000,,0,VX-7268-CT,https://www.domain.com.au/property-profile/7-mcarthur-street-malvern-vic-3144,253,https://bucket-api.domain.com.au/v1/bucket/image/2017657396_1_1_220311_040054-w1600-h1067
26,Belson,St,Malvern East,3145.0,Vic,"{'latitude': -37.8662341, 'longitude': 145.0458492}",House,4,1.0,2.0,AUVB,Marshall White Stonnington,2017643630,4450,Marshall White Stonnington,https://www.domain.com.au/real-estate-agencies/marshallwhitestonnington-4450,https://www.domain.com.au/26-belson-street-malvern-east-vic-3145-2017643630,2900000,,0,LX-3602-KN,https://www.domain.com.au/property-profile/26-belson-street-malvern-east-vic-3145,674,https://bucket-api.domain.com.au/v1/bucket/image/2017643630_1_1_220307_034530-w1600-h1067
23,Bruce,St,Malvern East,3145.0,Vic,"{'latitude': -37.8824431, 'longitude': 145.0710889}",House,4,3.0,5.0,AUSD,Fellowship Kew,2017643562,6525, Jellis Craig & Company Pty Ltd,https://www.domain.com.au/real-estate-agencies/jelliscraigcompanyptyltd-6525,https://www.domain.com.au/23-bruce-street-malvern-east-vic-3145-2017643562,2440000,,0,JN-8675-LR,https://www.domain.com.au/property-profile/23-bruce-street-malvern-east-vic-3145,552,https://bucket-api.domain.com.au/v1/bucket/image/2017643562_1_1_220307_033036-w1600-h1067
14,Horizon,Dr,Maribyrnong,3032.0,Vic,"{'latitude': -37.7752129, 'longitude': 144.8937359}",Townhouse,2,2.0,1.0,AUSP,Biggin&Scott Maribyrnong,2017625078,12394,Biggin & Scott Maribyrnong,https://www.domain.com.au/real-estate-agencies/bsmaribyrnong,https://www.domain.com.au/1-14-horizon-drive-maribyrnong-vic-3032-2017625078,675000,1,0,MZ-0943-CL,https://www.domain.com.au/property-profile/14-horizon-drive-maribyrnong-vic-3032,36997,0
3,Sentry,Pl,Maribyrnong,3032.0,Vic,"{'latitude': -37.7722439, 'longitude': 144.880632}",Townhouse,2,2.0,1.0,AUSD,Biggin&Scott Maribyrnong,2017652984,12394,Biggin & Scott Maribyrnong,https://www.domain.com.au/real-estate-agencies/bsmaribyrnong,https://www.domain.com.au/3-sentry-place-maribyrnong-vic-3032-2017652984,700500,,0,DU-7616-TU,https://www.domain.com.au/property-profile/3-sentry-place-maribyrnong-vic-3032,6003,https://bucket-api.domain.com.au/v1/bucket/image/2017652984_1_1_220310_010424-w1024-h683
