postcode,LGA
3782,Cardinia (S)
3783,Yarra Ranges (S)
3785,Yarra Ranges (S)
3786,Yarra Ranges (S)
3787,Yarra Ranges (S)
3788,Yarra Ranges (S)
3789,Yarra Ranges (S)
3791,Yarra Ranges (S)
3792,Yarra Ranges (S)
3793,Yarra Ranges (S)
3795,Yarra Ranges (S)
3796,Yarra Ranges (S)
3797,Baw Baw (S)
3799,Yarra Ranges (S)
3800,Monash (C)
3802,Casey (C)
3803,Casey (C)
3804,Casey (C)
3805,Casey (C)
3806,Casey (C)
3807,Cardinia (S)
3808,Cardinia (S)
3809,Cardinia (S)
3810,Cardinia (S)
3812,Cardinia (S)
3813,Cardinia (S)
3814,Cardinia (S)
3815,Cardinia (S)
3816,Baw Baw (S)
3818,Baw Baw (S)
3820,Baw Baw (S)
3821,Baw Baw (S)
3822,Baw Baw (S)
3823,Baw Baw (S)
3824,Baw Baw (S)
3825,Latrobe (C)
3831,Baw Baw (S)
3832,Baw Baw (S)
3833,Baw Baw (S)
3835,Baw Baw (S)
3840,Latrobe (C)
3842,Latrobe (C)
3844,Latrobe (C)
3847,Wellington (S)
3850,Wellington (S)
3851,Wellington (S)
3852,Wellington (S)
3854,Latrobe (C)
3856,Latrobe (C)
3857,Wellington (S)
3858,Wellington (S)
3859,Wellington (S)
3860,Wellington (S)
3862,Wellington (S)
3864,East Gippsland (S)
3865,East Gippsland (S)
3869,Latrobe (C)
3870,Latrobe (C)
3871,South Gippsland (S)
3873,Wellington (S)
3874,Wellington (S)
3875,East Gippsland (S)
3878,East Gippsland (S)
3880,East Gippsland (S)
3882,East Gippsland (S)
3885,East Gippsland (S)
3886,East Gippsland (S)
3887,East Gippsland (S)
3888,East Gippsland (S)
3889,East Gippsland (S)
3890,East Gippsland (S)
3891,East Gippsland (S)
3892,East Gippsland (S)
3893,East Gippsland (S)
3895,East Gippsland (S)
3896,East Gippsland (S)
3898,East Gippsland (S)
3900,East Gippsland (S)
3902,East Gippsland (S)
3903,East Gippsland (S)
3904,East Gippsland (S)
3909,East Gippsland (S)
3910,Casey (C)
3911,Mornington Peninsula (S)
3912,Mornington Peninsula (S)
3913,Mornington Peninsula (S)
3915,Mornington Peninsula (S)
3916,Mornington Peninsula (S)
3918,Mornington Peninsula (S)
3919,Mornington Peninsula (S)
3920,Mornington Peninsula (S)
3921,VIC - unincorp French Island
3922,Bass Coast (S)
3923,Bass Coast (S)
3925,Bass Coast (S)
3926,Mornington Peninsula (S)
3927,Mornington Peninsula (S)
3928,Mornington Peninsula (S)
3929,Mornington Peninsula (S)
3930,Mornington Peninsula (S)
3931,Mornington Peninsula (S)
3933,Mornington Peninsula (S)
3934,Mornington Peninsula (S)
3936,Mornington Peninsula (S)
3937,Mornington Peninsula (S)
3938,Mornington Peninsula (S)
3939,Mornington Peninsula (S)
3940,Mornington Peninsula (S)
3941,Mornington Peninsula (S)
3942,Mornington Peninsula (S)
3943,Mornington Peninsula (S)
3944,Mornington Peninsula (S)
3945,South Gippsland (S)
3946,South Gippsland (S)
3950,South Gippsland (S)
3951,South Gippsland (S)
3953,South Gippsland (S)
3954,South Gippsland (S)
3956,South Gippsland (S)
3957,South Gippsland (S)
3958,South Gippsland (S)
3959,South Gippsland (S)
3960,South Gippsland (S)
3962,South Gippsland (S)
3964,South Gippsland (S)
3965,South Gippsland (S)
3966,South Gippsland (S)
3967,South Gippsland (S)
3971,Wellington (S)
3975,Casey (C)
3976,Casey (C)
3977,Casey (C)
3978,Casey (C)
3979,Bass Coast (S)
3980,Casey (C)
3981,Cardinia (S)
3984,Mornington Peninsula (S)
3987,South Gippsland (S)
3988,Baw Baw (S)
3989,Bass Coast (S)
3990,Bass Coast (S)
3991,Bass Coast (S)
3992,Bass Coast (S)
3995,Bass Coast (S)
3996,South Gippsland (S)
5291,Glenelg (S)
8007,Melbourne (C)
