Domain_id,streetNumber,streetName,streetType,geoLocation,propertyType,bedrooms,bathrooms,carspaces,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos
4297.0,145,High,St,"{'latitude': -38.0360604, 'longitude': 145.3550263}",House,4.0,2.0,2.0,https://www.domain.com.au/145-high-street-berwick-vic-3806-2017623330,1355002.0,,FM-4375-RS,https://www.domain.com.au/property-profile/145-high-street-berwick-vic-3806,1012.0,https://bucket-api.domain.com.au/v1/bucket/image/15123404_1_1_220224_115224-w1920-h1280
4297.0,4,Kenny,Ct,"{'latitude': -38.042911, 'longitude': 145.361228}",House,4.0,2.0,2.0,https://www.domain.com.au/4-kenny-court-berwick-vic-3806-2017650321,915000.0,,GW-5603-ZD,https://www.domain.com.au/property-profile/4-kenny-court-berwick-vic-3806,748.0,https://bucket-api.domain.com.au/v1/bucket/image/2017650321_1_1_220309_040720-w1950-h1300
4297.0,6,Nangwarry,Ct,"{'latitude': -38.020067, 'longitude': 145.323547}",House,5.0,2.0,2.0,https://www.domain.com.au/6-nangwarry-court-berwick-vic-3806-2017651765,890000.0,,SQ-1688-SO,https://www.domain.com.au/property-profile/6-nangwarry-court-berwick-vic-3806,615.0,https://bucket-api.domain.com.au/v1/bucket/image/2017651765_13_1_220309_080031-w2048-h1365
4297.0,4,Maryn,Cl,"{'latitude': -38.027343, 'longitude': 145.331413}",House,4.0,2.0,2.0,https://www.domain.com.au/4-maryn-close-berwick-vic-3806-2017567392,830000.0,,NB-8251-BE,https://www.domain.com.au/property-profile/4-maryn-close-berwick-vic-3806,565.0,https://bucket-api.domain.com.au/v1/bucket/image/2017567392_1_1_220202_103907-w2048-h1365
71157.0,7,Greenwood,Ct,"{'latitude': -38.1369549, 'longitude': 145.255753}",House,5.0,3.0,4.0,https://www.domain.com.au/7-greenwood-court-botanic-ridge-vic-3977-2017642504,1350000.0,,HO-3898-DK,https://www.domain.com.au/property-profile/7-greenwood-court-botanic-ridge-vic-3977,666.0,https://bucket-api.domain.com.au/v1/bucket/image/2017642504_1_1_220306_113731-w1920-h1280
9517.0,4,Creekside,St,"{'latitude': -38.1251015, 'longitude': 145.3370555}",House,4.0,2.0,4.0,https://www.domain.com.au/4-creekside-street-clyde-vic-3978-2017636571,787700.0,,HC-0495-KE,https://www.domain.com.au/property-profile/4-creekside-street-clyde-vic-3978,520.0,https://bucket-api.domain.com.au/v1/bucket/image/2017636571_1_1_220303_022426-w1920-h1280
14407.0,9,Castricum,Pl,"{'latitude': -37.8715309, 'longitude': 145.2717108}",House,4.0,2.0,2.0,https://www.domain.com.au/9-castricum-place-ferntree-gully-vic-3156-2017646776,938000.0,,ZT-5773-GW,https://www.domain.com.au/property-profile/9-castricum-place-ferntree-gully-vic-3156,782.0,https://bucket-api.domain.com.au/v1/bucket/image/2017646776_1_1_220308_040659-w4743-h3162
14407.0,71,Edina,Rd,"{'latitude': -37.8747057, 'longitude': 145.2769675}",House,3.0,1.0,2.0,https://www.domain.com.au/property-profile/ferntree-gully-vic-3156,857000.0,,PB-3629-SS,https://www.domain.com.au/property-profile/71-edina-road-ferntree-gully-vic-3156,724.0,https://bucket-api.domain.com.au/v1/bucket/image/2017622917_3_1_220225_030835-w1619-h1080
14407.0,5,Glenfern,Rd,"{'latitude': -37.8898156, 'longitude': 145.2888216}",House,4.0,2.0,4.0,https://www.domain.com.au/5-glenfern-road-ferntree-gully-vic-3156-2017652220,1170000.0,,SW-9816-FY,https://www.domain.com.au/property-profile/5-glenfern-road-ferntree-gully-vic-3156,1690.0,https://bucket-api.domain.com.au/v1/bucket/image/2017652220_1_1_220309_102626-w4743-h3162
14407.0,47,Nerissa,St,"{'latitude': -37.8750621, 'longitude': 145.273621}",House,4.0,2.0,2.0,https://www.domain.com.au/47-nerissa-street-ferntree-gully-vic-3156-2017653540,1100000.0,,QB-1656-CO,https://www.domain.com.au/property-profile/47-nerissa-street-ferntree-gully-vic-3156,730.0,https://bucket-api.domain.com.au/v1/bucket/image/2017653540_1_1_220310_023111-w3000-h2000
